证券名称,证券代码,所属申万行业名称(2021)
平安银行,000001.SZ,银行--股份制银行Ⅱ--股份制银行Ⅲ
万科A,000002.SZ,房地产--房地产开发--住宅开发
*ST国华,000004.SZ,计算机--软件开发--横向通用软件
深振业A,000006.SZ,房地产--房地产开发--住宅开发
全新好,000007.SZ,商贸零售--一般零售--商业物业经营
神州高铁,000008.SZ,机械设备--轨交设备Ⅱ--轨交设备Ⅲ
中国宝安,000009.SZ,电力设备--电池--电池化学品
美丽生态,000010.SZ,建筑装饰--基础建设--园林工程
深物业A,000011.SZ,房地产--房地产开发--住宅开发
南玻A,000012.SZ,建筑材料--玻璃玻纤--玻璃制造
沙河股份,000014.SZ,房地产--房地产开发--住宅开发
深康佳A,000016.SZ,家用电器--白色家电--冰洗
深中华A,000017.SZ,纺织服饰--饰品--钟表珠宝
深粮控股,000019.SZ,农林牧渔--农产品加工--粮油加工
深华发A,000020.SZ,电子--光学光电子--面板
深科技,000021.SZ,电子--消费电子--消费电子零部件及组装
特力A,000025.SZ,综合--综合Ⅱ--综合Ⅲ
飞亚达,000026.SZ,纺织服饰--饰品--钟表珠宝
深圳能源,000027.SZ,公用事业--电力--火力发电
国药一致,000028.SZ,医药生物--医药商业--医药流通
深深房A,000029.SZ,房地产--房地产开发--住宅开发
富奥股份,000030.SZ,汽车--汽车零部件--底盘与发动机系统
大悦城,000031.SZ,房地产--房地产开发--商业地产
深桑达A,000032.SZ,建筑装饰--专业工程--其他专业工程
神州数码,000034.SZ,计算机--IT服务Ⅱ--IT服务Ⅲ
中国天楹,000035.SZ,环保--环境治理--固废治理
华联控股,000036.SZ,房地产--房地产开发--住宅开发
深南电A,000037.SZ,公用事业--电力--火力发电
中集集团,000039.SZ,机械设备--通用设备--金属制品
中洲控股,000042.SZ,房地产--房地产开发--住宅开发
深纺织A,000045.SZ,电子--光学光电子--面板
京基智农,000048.SZ,农林牧渔--养殖业--生猪养殖
德赛电池,000049.SZ,电力设备--电池--锂电池
深天马A,000050.SZ,电子--光学光电子--面板
方大集团,000055.SZ,建筑材料--装修建材--其他建材
皇庭国际,000056.SZ,房地产--房地产服务--物业管理
深赛格,000058.SZ,商贸零售--一般零售--商业物业经营
华锦股份,000059.SZ,石油石化--炼化及贸易--炼油化工
中金岭南,000060.SZ,有色金属--工业金属--铅锌
农产品,000061.SZ,商贸零售--一般零售--商业物业经营
深圳华强,000062.SZ,电子--其他电子Ⅱ--其他电子Ⅲ
中兴通讯,000063.SZ,通信--通信设备--通信网络设备及器件
北方国际,000065.SZ,建筑装饰--专业工程--国际工程
中国长城,000066.SZ,计算机--计算机设备--其他计算机设备
华控赛格,000068.SZ,环保--环境治理--综合环境治理
华侨城A,000069.SZ,房地产--房地产开发--商业地产
特发信息,000070.SZ,通信--通信设备--通信线缆及配套
海王生物,000078.SZ,医药生物--医药商业--医药流通
盐田港,000088.SZ,交通运输--航运港口--港口
深圳机场,000089.SZ,交通运输--航空机场--机场
天健集团,000090.SZ,房地产--房地产开发--住宅开发
广聚能源,000096.SZ,石油石化--炼化及贸易--油品石化贸易
中信海直,000099.SZ,交通运输--航空机场--航空运输
TCL科技,000100.SZ,电子--光学光电子--面板
中成股份,000151.SZ,商贸零售--贸易Ⅱ--贸易Ⅲ
丰原药业,000153.SZ,医药生物--化学制药--化学制剂
川能动力,000155.SZ,公用事业--电力--风力发电
华数传媒,000156.SZ,传媒--电视广播Ⅱ--电视广播Ⅲ
中联重科,000157.SZ,机械设备--工程机械--工程机械整机
常山北明,000158.SZ,计算机--IT服务Ⅱ--IT服务Ⅲ
国际实业,000159.SZ,电力设备--光伏设备--光伏辅材
申万宏源,000166.SZ,非银金融--证券Ⅱ--证券Ⅲ
东方盛虹,000301.SZ,石油石化--炼化及贸易--炼油化工
美的集团,000333.SZ,家用电器--白色家电--空调
潍柴动力,000338.SZ,汽车--汽车零部件--底盘与发动机系统
许继电气,000400.SZ,电力设备--电网设备--电网自动化设备
金隅冀东,000401.SZ,建筑材料--水泥--水泥制造
金融街,000402.SZ,房地产--房地产开发--商业地产
派林生物,000403.SZ,医药生物--生物制品--血液制品
长虹华意,000404.SZ,家用电器--家电零部件Ⅱ--家电零部件Ⅲ
胜利股份,000407.SZ,公用事业--燃气Ⅱ--燃气Ⅲ
藏格矿业,000408.SZ,有色金属--能源金属--锂
云鼎科技,000409.SZ,计算机--IT服务Ⅱ--IT服务Ⅲ
沈阳机床,000410.SZ,机械设备--通用设备--机床工具
英特集团,000411.SZ,医药生物--医药商业--医药流通
渤海租赁,000415.SZ,非银金融--多元金融--租赁
合百集团,000417.SZ,商贸零售--一般零售--多业态零售
通程控股,000419.SZ,商贸零售--一般零售--多业态零售
吉林化纤,000420.SZ,基础化工--化学纤维--粘胶
南京公用,000421.SZ,综合--综合Ⅱ--综合Ⅲ
湖北宜化,000422.SZ,基础化工--农化制品--氮肥
东阿阿胶,000423.SZ,医药生物--中药Ⅱ--中药Ⅲ
徐工机械,000425.SZ,机械设备--工程机械--工程机械整机
兴业银锡,000426.SZ,有色金属--工业金属--铅锌
华天酒店,000428.SZ,社会服务--酒店餐饮--酒店
粤高速A,000429.SZ,交通运输--铁路公路--高速公路
*ST张股,000430.SZ,社会服务--旅游及景区--自然景区
ST晨鸣,000488.SZ,轻工制造--造纸--大宗用纸
山东路桥,000498.SZ,建筑装饰--基础建设--基建市政工程
武商集团,000501.SZ,商贸零售--一般零售--百货
国新健康,000503.SZ,计算机--软件开发--垂直应用软件
*ST生物,000504.SZ,医药生物--医疗服务--其他医疗服务
京粮控股,000505.SZ,农林牧渔--农产品加工--粮油加工
招金黄金,000506.SZ,有色金属--贵金属--黄金
珠海港,000507.SZ,公用事业--电力--风力发电
华塑控股,000509.SZ,电子--光学光电子--面板
新金路,000510.SZ,基础化工--化学原料--氯碱
丽珠集团,000513.SZ,医药生物--化学制药--化学制剂
