证券名称,证券代码,所属申万行业名称(港股)(2021)
长和,0001.HK,综合--综合Ⅱ--综合Ⅲ
中电控股,0002.HK,公用事业--电力--火力发电
香港中华煤气,0003.HK,公用事业--燃气Ⅱ--燃气Ⅲ
九龙仓集团,0004.HK,房地产--房地产开发--商业地产
汇丰控股,0005.HK,银行--其他银行Ⅱ--其他银行Ⅲ
电能实业,0006.HK,公用事业--电力--火力发电
智富资源投资,0007.HK,----
电讯盈科,0008.HK,通信--通信服务--电信运营商
金奥国际,0009.HK,----
恒隆集团,0010.HK,房地产--房地产开发--商业地产
恒生银行,0011.HK,银行--其他银行Ⅱ--其他银行Ⅲ
恒基地产,0012.HK,房地产--房地产开发--住宅开发
和黄医药,0013.HK,医药生物--化学制药--化学制剂
希慎兴业,0014.HK,房地产--房地产开发--商业地产
新鸿基地产,0016.HK,房地产--房地产开发--商业地产
新世界发展,0017.HK,房地产--房地产开发--住宅开发
东方企控集团,0018.HK,----
太古股份公司A,0019.HK,综合--综合Ⅱ--综合Ⅲ
商汤-W,0020.HK,计算机--IT服务Ⅱ--IT服务Ⅲ
大中华控股,0021.HK,----
茂盛控股,0022.HK,----
东亚银行,0023.HK,银行--其他银行Ⅱ--其他银行Ⅲ
CHEVALIER INT'L,0025.HK,----
中华汽车,0026.HK,----
银河娱乐,0027.HK,社会服务--旅游及景区--博彩
天安,0028.HK,----
达力集团,0029.HK,----
云白国际,0030.HK,----
航天控股,0031.HK,----
港通控股,0032.HK,----
INTL GENIUS,0033.HK,----
九龙建业,0034.HK,----
远东发展,0035.HK,房地产--房地产开发--住宅开发
远东控股国际,0036.HK,----
远东酒店实业,0037.HK,----
第一拖拉机股份,0038.HK,机械设备--专用设备--农用机械
中国北大荒,0039.HK,----
金山科技工业,0040.HK,----
鹰君,0041.HK,社会服务--酒店餐饮--酒店
东北电气,0042.HK,电力设备--电网设备--输变电设备
大酒店,0045.HK,社会服务--酒店餐饮--酒店
科联系统,0046.HK,----
中国汽车内饰,0048.HK,----
香港小轮(集团),0050.HK,----
海港企业,0051.HK,----
大快活集团,0052.HK,----
国浩集团,0053.HK,----
中星集团控股,0055.HK,----
震雄集团,0057.HK,----
新威国际,0058.HK,----
天誉置业,0059.HK,房地产--房地产开发--住宅开发
香港食品投资,0060.HK,----
绿领控股,0061.HK,----
载通,0062.HK,----
中亚烯谷集团,0063.HK,----
结好控股,0064.HK,----
弘海高新资源,0065.HK,----
港铁公司,0066.HK,交通运输--铁路公路--铁路运输
香格里拉(亚洲),0069.HK,社会服务--酒店餐饮--酒店
金粤控股,0070.HK,----
美丽华酒店,0071.HK,----
超媒体控股,0072.HK,----
亚洲果业,0073.HK,----
渝太地产,0075.HK,----
谊砾控股,0076.HK,----
进智公共交通,0077.HK,----
REGAL INT'L,0078.HK,社会服务--酒店餐饮--酒店
世纪建业,0079.HK,----
CAI控股,0080.HK,----
中国海外宏洋集团,0081.HK,房地产--房地产开发--住宅开发
疯狂体育,0082.HK,----
信和置业,0083.HK,房地产--房地产开发--商业地产
宝光实业,0084.HK,----
中电华大科技,0085.HK,----
新鸿基公司,0086.HK,非银金融--多元金融--资产管理
太古股份公司B,0087.HK,综合--综合Ⅱ--综合Ⅲ
TAI CHEUNG HOLD,0088.HK,----
大生地产,0089.HK,----
普星能量,0090.HK,----
冠军科技集团,0092.HK,----
零在科技金融,0093.HK,----
绿心集团,0094.HK,----
绿景中国地产,0095.HK,房地产--房地产开发--住宅开发
YUSEI,0096.HK,----
恒基发展,0097.HK,----
兴发铝业,0098.HK,----
王氏国际,0099.HK,----
恒隆地产,0101.HK,房地产--房地产开发--商业地产
首佳科技,0103.HK,----
ASIA COMM HOLD,0104.HK,----
凯联国际酒店,0105.HK,----
朗诗绿色管理,0106.HK,----
四川成渝高速公路,0107.HK,交通运输--铁路公路--高速公路
国锐生活,0108.HK,----
中国长远,0110.HK,----
信达国际控股,0111.HK,----
迪生创建,0113.HK,----
HERALD HOLD,0114.HK,----
钧濠集团,0115.HK,----
周生生,0116.HK,纺织服饰--饰品--钟表珠宝
天利控股集团,0117.HK,----
大同机械,0118.HK,----
保利置业集团,0119.HK,房地产--房地产开发--住宅开发
COSMOPOL INT'L,0120.HK,房地产--房地产开发--住宅开发
鳄鱼恤,0122.HK,----
越秀地产,0123.HK,房地产--房地产开发--住宅开发
粤海置地,0124.HK,----
新兴光学,0125.HK,----
佳宁娜,0126.HK,----
华人置业,0127.HK,房地产--房地产开发--商业地产
安宁控股,0128.HK,----
泛海集团,0129.HK,----
慕诗国际,0130.HK,----
卓能(集团),0131.HK,----
兴业控股,0132.HK,----
招商局中国基金,0133.HK,----
昆仑能源,0135.HK,公用事业--燃气Ⅱ--燃气Ⅲ
中国儒意,0136.HK,传媒--影视院线--影视动漫制作
